asa_player_id,player_id,display_name,normalized_name,birth_date,nationality,primary_position,is_domestic_player,age,league_id,team_id,position_group,tactical_role_primary,data_source,yoy_delta,development_trend_note,evaluation_period,season_label,minutes,minutes_share,data_reliability,npxg_p90,xa_p90,shots_p90,pressures_p90,tackles_p90,interceptions_p90,progressive_passes_p90,progressive_carries_p90,goals_added_p90,aerial_win_pct,pass_completion_pct,crosses_p90,season_year,salary,cost_tier,stats_are_full_season,stats_are_ytd
OlMlkkvPQL,asa_OlMlkkvPQL_mls_eval_blended,Malik Jakupovic,malik jakupovic,2009-06-24,USA,FW,NA,17.018480492813143,mls,9z5k7Yg5A3,FW,pressing_striker,asa_live,0,Insufficient multi-season history for trend,blended,2025+2026 season to date,115,0.03758169934640523,low,0.04366956521739131,0,0.782608695652174,15.428521739130435,2.685704347826087,2.114278260869565,2.7026086956521733,1.3229565217391304,0.4000695652173913,NA,0.88,NA,2026,105956,2,FALSE,TRUE
OlMlnxlDqL,asa_OlMlnxlDqL_mls_eval_blended,Tristan Blackmon,tristan blackmon,1996-08-12,USA,CB,NA,28.88432580424367,mls,lgpMOvnQzy,CB,progressive_center_back,asa_live,0.08858893308958689,2024→2025 g+/90 change (longer-term trend),blended,2025+2026 season to date,2175,1,high,0.07150322731251824,0,0.6046818517310629,8.931507399715066,1.3863014799430131,1.1397261099572598,5.3812646423728525,2.683097635043513,0.16505263859661168,NA,0.88,NA,2026,975000,4,FALSE,TRUE
OlMlonPQLz,asa_OlMlonPQLz_mls_eval_blended,Marco Reus,marco reus,1989-05-31,Germany,W,NA,36.0848733744011,mls,kaDQ0wRqEv,W,transition_winger,asa_live,0.05078601147776182,2024→2025 g+/90 change (longer-term trend),blended,2025+2026 season to date,1929,0.8179738562091503,high,0.31430514245423935,0,1.6415404169256604,9.39613596934752,1.4792271938695043,1.2094203954021283,3.668789950737088,2.4582050116431176,0.21005346556698737,NA,0.88,NA,2026,902364,4,FALSE,TRUE
Pk5L1BXPqO,asa_Pk5L1BXPqO_mls_eval_blended,Júnior Urso,junior urso,1989-03-10,Brazil,CM,NA,36.309377138945926,mls,YgOMngl5wN,CM,ball_winning_midfielder,asa_live,0.003076007039636522,2024→2025 g+/90 change (longer-term trend),blended,2025+2026 season to date,1123,0.12844771241830064,low,0.10700623330365093,0,1.0418521816562778,9.788780053428317,1.5577560106856634,1.2683170080142476,2.8068566340160284,2.571166518254675,0.10451380231522707,NA,0.68,NA,2026,123533,2,FALSE,TRUE
Pk5L6BzZQO,asa_Pk5L6BzZQO_mls_eval_blended,Micael,micael,2000-08-12,Brazil,CB,NA,25.883641341546884,mls,zeQZkL1MKw,CB,progressive_center_back,asa_live,0,Insufficient multi-season history for trend,blended,2025+2026 season to date,1762,0.5758169934640522,medium,0.06151362088535755,0,0.45970488081725314,10.694074914869466,1.7388149829738933,1.40411123723042,4.3141174801362085,2.7630533484676505,0.1483927355278093,NA,0.88,NA,2026,892440,4,FALSE,TRUE
Pk5L6k6PQO,asa_Pk5L6k6PQO_mls_eval_blended,Kwadwo Opoku,kwadwo opoku,2001-07-13,Ghana,W,NA,23.967145790554415,mls,APk5LGOMOW,W,transition_winger,asa_live,-0.11940637688082156,2024→2025 g+/90 change (longer-term trend),blended,2025+2026 season to date,197.9713603818616,0.07220588235294118,low,0.16516445122503853,0,1.1664300172200237,9.977775898009124,1.5955551796018248,1.2966663847013686,3.058620585480801,1.9292522884505,0.14625686535149998,NA,0.7129355608591887,NA,2026,723560,4,FALSE,TRUE
Pk5L6klYQO,asa_Pk5L6klYQO_mls_eval_blended,Laurtaro Giaccone,laurtaro giaccone,2001-02-01,Argentina,W,NA,25.409993155373034,mls,mvzqoLZQap,W,transition_winger,asa_live,0,Insufficient multi-season history for trend,blended,2025+2026 season to date,184,0.06013071895424837,low,0.024652173913043477,0,0.9782608695652174,10.171739130434784,1.6343478260869566,1.3257608695652174,0.8759510869565217,1.2175,0.023625000000000007,NA,0.68,NA,2026,NA,NA,FALSE,TRUE
Pk5L6rDPQO,asa_Pk5L6rDPQO_mls_eval_blended,David Ruiz,david ruiz,2004-02-08,USA,CM,NA,21.39356605065024,mls,zeQZkL1MKw,CM,ball_winning_midfielder,asa_live,0.059267157668853876,2024→2025 g+/90 change (longer-term trend),blended,2025+2026 season to date,352,0.1313888888888889,low,0.1851202770613417,0,0.5898853997713314,9.307358345076977,1.4614716690153955,1.1961037517615465,2.5667423356111567,2.6037157329362652,0.12812951022361668,NA,0.88,NA,2026,231887,2,FALSE,TRUE
Pk5LJZZQOW,asa_Pk5LJZZQOW_mls_eval_blended,Zanka,zanka,1990-04-23,Denmark,CB,NA,35.1895961670089,mls,kaDQ0wRqEv,CB,progressive_center_back,asa_live,0,Insufficient multi-season history for trend,blended,2025+2026 season to date,1507,0.1723692810457516,medium,0.026707365627073654,0,0.23888520238885202,12.583012607830128,2.1166025215660254,1.6874518911745187,5.017982747179827,1.9017120106171201,0.1845985401459854,NA,0.88,NA,2026,NA,NA,FALSE,TRUE
Pk5LZEgGQO,asa_Pk5LZEgGQO_mls_eval_blended,Nikola Markovic,nikola markovic,2004-07-22,Canada,CM,NA,21.94113620807666,mls,EKXMeX3Q64,CM,ball_winning_midfielder,asa_live,0,Insufficient multi-season history for trend,blended,2025+2026 season to date,489,0.15980392156862744,medium,0.01777914110429448,0,0.7361963190184049,11.980613496932515,1.996122699386503,1.5970920245398772,2.8426380368098156,2.0155828220858893,0.05212269938650306,NA,0.68,NA,2026,93858,2,FALSE,TRUE
