team_id,team_name,team_short,league_id,is_mls_club,conference,asa_team_id
zeQZBOzQKw,San Diego FC,San Diego FC,mls,1,NA,zeQZBOzQKw
"c(""APk5LGOMOW"", ""EKXMeX3Q64"")","c(""APk5LGOMOW"", ""EKXMeX3Q64"")","c(""APk5LGOMOW"", ""EKXMeX3Q64"")",mls,1,NA,"c(""APk5LGOMOW"", ""EKXMeX3Q64"")"
"c(""pzeQZ6xQKw"", ""jYQJ8EW5GR"")","c(""pzeQZ6xQKw"", ""jYQJ8EW5GR"")","c(""pzeQZ6xQKw"", ""jYQJ8EW5GR"")",mls,1,NA,"c(""pzeQZ6xQKw"", ""jYQJ8EW5GR"")"
"c(""mvzqoLZQap"", ""YgOMngl5wN"")","c(""mvzqoLZQap"", ""YgOMngl5wN"")","c(""mvzqoLZQap"", ""YgOMngl5wN"")",mls,1,NA,"c(""mvzqoLZQap"", ""YgOMngl5wN"")"
"c(""APk5LGOMOW"", ""NPqxKXZ59d"")","c(""APk5LGOMOW"", ""NPqxKXZ59d"")","c(""APk5LGOMOW"", ""NPqxKXZ59d"")",mls,1,NA,"c(""APk5LGOMOW"", ""NPqxKXZ59d"")"
"c(""a2lqR4JMr0"", ""NWMWlBK5lz"")","c(""a2lqR4JMr0"", ""NWMWlBK5lz"")","c(""a2lqR4JMr0"", ""NWMWlBK5lz"")",mls,1,NA,"c(""a2lqR4JMr0"", ""NWMWlBK5lz"")"
"c(""zeQZBOzQKw"", ""0KPqjA456v"")","c(""zeQZBOzQKw"", ""0KPqjA456v"")","c(""zeQZBOzQKw"", ""0KPqjA456v"")",mls,1,NA,"c(""zeQZBOzQKw"", ""0KPqjA456v"")"
"c(""wvq9B9wQWn"", ""KAqBN0Vqbg"")","c(""wvq9B9wQWn"", ""KAqBN0Vqbg"")","c(""wvq9B9wQWn"", ""KAqBN0Vqbg"")",mls,1,NA,"c(""wvq9B9wQWn"", ""KAqBN0Vqbg"")"
"c(""YgOMngl5wN"", ""NWMWlBK5lz"")","c(""YgOMngl5wN"", ""NWMWlBK5lz"")","c(""YgOMngl5wN"", ""NWMWlBK5lz"")",mls,1,NA,"c(""YgOMngl5wN"", ""NWMWlBK5lz"")"
"c(""pzeQZ6xQKw"", ""KAqBN0Vqbg"")","c(""pzeQZ6xQKw"", ""KAqBN0Vqbg"")","c(""pzeQZ6xQKw"", ""KAqBN0Vqbg"")",mls,1,NA,"c(""pzeQZ6xQKw"", ""KAqBN0Vqbg"")"
